id_obs,id_sub,id_ses,participantcode,participantlabel,payoff,sessioncode,sessionlabel,treatment_past,treatment_future,matching_group,time_total,time_questions,time_waiting,role,round,earnings,group_id,state,message,action,bias,noise,time_decision,time_results,risk,risk_payoff,crt,time_crt,crt_payoff,trust_sender,trust_receiver,age,study,gender
1,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,1,111,2,2,2,2,Low,4,59,12,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
2,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,2,5,2,5,2,2,Low,-3,25,5,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
3,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,3,111,4,1,1,1,Low,4,21,31,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
4,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,4,105,3,3,3,3,Low,-2,17,15,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
5,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,5,106,2,1,1,1,Low,-1,11,8,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
6,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,6,106,4,4,4,4,Low,-1,21,10,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
7,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,7,111,2,4,4,4,Low,4,8,17,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
8,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,8,107,4,4,4,4,Low,0,10,11,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
9,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,9,107,1,4,4,4,Low,0,5,14,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
10,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,10,106,4,2,2,2,Low,-1,10,8,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
11,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,11,108,3,1,1,1,Low,1,14,44,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
12,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,12,106,3,4,4,4,Low,-1,14,8,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
13,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,13,103,1,1,1,1,Low,-4,8,13,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
14,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,14,108,4,4,4,4,Low,1,16,9,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
15,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,15,109,2,4,4,4,Low,2,10,8,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
16,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,16,110,1,5,5,5,Low,3,11,19,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
17,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,17,107,4,1,1,1,Low,0,8,24,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
18,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,18,107,1,4,4,4,Low,0,5,16,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
19,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,19,104,4,3,3,3,Low,-3,7,5,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
20,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,20,104,4,2,2,2,Low,-3,7,16,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
21,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,21,110,2,5,5,5,Low,3,16,6,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
22,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,22,103,4,1,1,1,Low,-4,17,11,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
23,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,23,107,3,3,3,3,Low,0,8,6,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
24,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,24,111,4,1,1,1,Low,4,20,5,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
25,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,25,110,2,1,1,1,Low,3,7,27,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
26,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,26,104,1,1,1,1,Low,-3,3,0,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
27,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,27,107,2,5,5,5,Low,0,12,4,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
28,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,28,109,1,1,1,1,Low,2,6,14,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
29,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,29,106,3,4,4,4,Low,-1,15,14,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
